platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes
Netflix,The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,101,thriller,5.2,17264
Netflix,The Nut Job,MOVIE,2014,85,comedy,5.7,28484
Netflix,Haider,MOVIE,2014,150,action,8.1,54709
Netflix,Omar,MOVIE,2013,96,romance,7.5,14318
Netflix,Tom Segura: Completely Normal,MOVIE,2014,74,comedy,7.7,2663
Netflix,We Steal Secrets: The Story of WikiLeaks,MOVIE,2013,127,documentation,6.9,7934
Netflix,Search Party,MOVIE,2014,93,comedy,5.6,7840
Netflix,Stand by Me Doraemon,MOVIE,2014,90,scifi,7.3,7989
Netflix,Berserk: The Golden Age Arc III - The Advent,MOVIE,2013,110,drama,7.8,10173
Netflix,The Square,MOVIE,2013,88,documentation,8.1,8949
Netflix,2 States,MOVIE,2014,149,drama,6.9,25656
Netflix,The Short Game,MOVIE,2013,100,documentation,7.3,1570
Netflix,Highway,MOVIE,2014,133,crime,7.6,28688
Netflix,Jinxed,MOVIE,2013,70,comedy,6.3,1488
Netflix,Dabbe: The Possession,MOVIE,2013,120,horror,6.8,5831
Netflix,Ralphie May: Imperfectly Yours,MOVIE,2013,69,comedy,5.4,154
Netflix,Mary Kom,MOVIE,2014,122,history,6.8,10769
Netflix,"The Other One: The Long, Strange Trip of Bob Weir",MOVIE,2014,85,music,7.3,1677
Netflix,Fukrey,MOVIE,2013,137,drama,6.9,11780
Netflix,Free Birds,MOVIE,2013,91,animation,5.8,24140
Netflix,Race 2,MOVIE,2013,150,thriller,5.3,16455
Netflix,Birth Reborn,MOVIE,2013,91,documentation,7.8,252
Netflix,The Berlin File,MOVIE,2013,120,action,6.6,7198
Netflix,Monty Python: The Meaning of Live,MOVIE,2014,96,documentation,7.6,598
Netflix,Imperial Dreams,MOVIE,2014,87,drama,6.7,4509
Netflix,Monty Python: Live (Mostly),MOVIE,2014,138,documentation,7.6,2623
Netflix,LEGO DC Comics Super Heroes: Batman Be-Leaguered,MOVIE,2014,22,action,6.5,1340
Netflix,Hasee Toh Phasee,MOVIE,2014,141,comedy,6.8,15152
Netflix,The Boss: Anatomy of a Crime,MOVIE,2014,98,drama,7.3,2156
Netflix,Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,160,action,4.4,7204
Netflix,Jim Jefferies: Bare,MOVIE,2014,76,comedy,8.0,5461
Netflix,Pizza,MOVIE,2014,107,horror,6.2,1313
Netflix,Boss,MOVIE,2013,143,comedy,5.1,11159
Netflix,Madras Cafe,MOVIE,2013,130,action,7.6,24506
Netflix,Ankhon Dekhi,MOVIE,2014,104,drama,8.0,11330
Netflix,Kai Po Che!,MOVIE,2013,126,drama,7.7,36784
Netflix,Anjaan,MOVIE,2014,170,crime,5.3,5018
Netflix,ABCD,MOVIE,2013,136,music,6.3,6960
Netflix,Blind Detective,MOVIE,2013,130,crime,6.4,3300
Netflix,Satyagraha,MOVIE,2013,152,drama,5.9,5171
Netflix,Buddies,MOVIE,2013,94,drama,6.5,1082
Netflix,Khoobsurat,MOVIE,2014,130,comedy,6.4,8464
Netflix,The Perfect Dictatorship,MOVIE,2014,143,drama,7.2,5432
Netflix,Bride for Rent,MOVIE,2014,115,romance,6.4,601
Netflix,Selfie,MOVIE,2014,123,comedy,6.0,1671
Netflix,Chashme Baddoor,MOVIE,2013,120,comedy,5.4,5148
Netflix,Bombay Talkies,MOVIE,2013,127,drama,6.6,5402
Netflix,Humpty Sharma Ki Dulhania,MOVIE,2014,133,drama,6.0,12969
Netflix,Ragini MMS 2,MOVIE,2014,120,horror,3.9,2903
Netflix,Mission Blue,MOVIE,2014,94,documentation,7.9,1991
Netflix,Chennai Express,MOVIE,2013,141,romance,6.0,53939
Netflix,Saheb Biwi Aur Gangster Returns,MOVIE,2013,142,action,6.7,3997
Netflix,Raja Natwarlal,MOVIE,2014,141,thriller,6.1,4311
Netflix,My Beautiful Broken Brain,MOVIE,2014,84,documentation,7.0,2286
Netflix,Jim Gaffigan: Obsessed,MOVIE,2014,70,comedy,7.6,2244
Netflix,Jeff Dunham: All Over the Map,MOVIE,2014,41,comedy,7.1,854
Netflix,Eyes of a Thief,MOVIE,2014,98,drama,6.6,450
Netflix,Miss Granny,MOVIE,2014,124,drama,7.2,3508
Netflix,Aziz Ansari: Buried Alive,MOVIE,2013,79,comedy,7.2,3998
Netflix,Print the Legend,MOVIE,2014,100,documentation,7.0,1967
Netflix,The Butterfly's Dream,MOVIE,2013,138,drama,7.7,22191
Netflix,Tea Time,MOVIE,2014,70,documentation,7.6,507
Netflix,Mitt,MOVIE,2014,93,documentation,6.9,2579
Netflix,Trailer Park Boys - Live in F**kin' Dublin,MOVIE,2014,81,comedy,6.2,1569
Netflix,Ungli,MOVIE,2014,114,thriller,5.8,3914
Netflix,When Love Happens,MOVIE,2014,109,romance,4.8,129
Netflix,Marc Maron: Thinky Pain,MOVIE,2013,90,comedy,7.3,1892
Netflix,Coming Soon,MOVIE,2014,134,romance,7.3,34137
Netflix,Born in Gaza,MOVIE,2014,69,documentation,7.4,511
Netflix,Tiger & Bunny: The Rising,MOVIE,2014,108,scifi,6.7,334
Netflix,My Own Man,MOVIE,2014,82,documentation,6.4,447
Netflix,SDU: Sex Duties Unit,MOVIE,2013,94,comedy,5.9,492
Netflix,City of God: 10 Years Later,MOVIE,2013,69,documentation,6.4,1322
Netflix,October 1,MOVIE,2014,149,thriller,6.4,446
Netflix,The Amazing Praybeyt Benjamin,MOVIE,2014,105,drama,4.0,195
Netflix,Free to Play,MOVIE,2014,75,documentation,7.6,13341
Netflix,Inkaar,MOVIE,2013,133,drama,6.1,2586
Netflix,Dabbe 5: Curse of the Jinn,MOVIE,2014,132,horror,5.9,3788
Netflix,Diamonds in the Sky,MOVIE,2014,132,drama,7.4,10
Netflix,Chhota Bheem and the ShiNobi Secret,MOVIE,2013,63,animation,8.6,6
Netflix,Bhaji in Problem,MOVIE,2013,117,drama,7.1,1021
Netflix,Dedh Ishqiya,MOVIE,2014,148,romance,7.0,7236
Netflix,She's The One,MOVIE,2013,110,romance,6.3,210
Netflix,Wedding Association,MOVIE,2013,106,comedy,7.0,22458
Netflix,Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,2014,71,comedy,5.8,1179
Netflix,Ghadi,MOVIE,2013,100,drama,7.3,1128
Netflix,Swearnet: The Movie,MOVIE,2014,112,comedy,6.0,2769
Netflix,E-Team,MOVIE,2014,88,documentation,7.1,873
Netflix,SampleThis,MOVIE,2013,85,documentation,6.4,471
Netflix,El Mago Pop,MOVIE,2013,44,reality,6.8,21
Netflix,Ghanchakkar,MOVIE,2013,137,thriller,5.8,5052
Netflix,Seven Souls in the Skull Castle,MOVIE,2013,179,drama,7.3,49
Netflix,Giraffada,MOVIE,2014,85,drama,6.3,243
Netflix,Pagpag: Siyam na Buhay,MOVIE,2013,105,horror,5.4,326
Netflix,Anaamika,MOVIE,2014,124,thriller,5.5,271
Netflix,The Midas Touch,MOVIE,2013,99,comedy,5.0,190
Netflix,Chhota Bheem in the Incan Adventure,MOVIE,2013,64,fantasy,7.5,32
Netflix,Mars at Sunrise,MOVIE,2014,75,drama,7.8,43
Netflix,It Takes a Man and a Woman,MOVIE,2013,120,romance,6.7,363
Netflix,Gori Tere Pyaar Mein,MOVIE,2013,150,comedy,4.9,3861
Netflix,What the Fish,MOVIE,2013,98,drama,5.2,211
Netflix,A Place in the Stars,MOVIE,2014,112,thriller,6.2,19
Netflix,Heritages,MOVIE,2014,96,drama,7.3,131
Netflix,Trailer Park Boys: Live at the North Pole,MOVIE,2014,88,comedy,6.7,1114
Netflix,One by Two,MOVIE,2014,139,comedy,3.9,748
Netflix,Romantik Komedi 2: Bekarlığa Veda,MOVIE,2013,105,comedy,5.1,3383
Netflix,Chhota Bheem the Crown of Valhalla,MOVIE,2013,64,animation,7.6,15
Netflix,The Land of Cards,MOVIE,2013,110,fantasy,5.5,412
Netflix,Gollu Aur Pappu,MOVIE,2014,112,comedy,3.8,119
Netflix,Bobby Jasoos,MOVIE,2014,121,action,5.5,2331
Netflix,Refugiado,MOVIE,2014,95,thriller,6.4,373
Netflix,Chhota Bheem Aur Hanuman,MOVIE,2013,67,animation,7.3,36
Netflix,That Thing Called Tadhana,MOVIE,2014,110,romance,7.4,1050
Netflix,Must Be... Love,MOVIE,2013,105,comedy,6.4,531
Netflix,She's Dating the Gangster,MOVIE,2014,105,drama,7.0,1100
