platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,,
Netflix,Ankhon Dekhi,MOVIE,2014,104,drama,"8,00",11.330,,
Netflix,Kai Po Che!,MOVIE,2013,126,drama,"7,70",36.784,,
Netflix,Anjaan,MOVIE,2014,170,crime,"5,30",5.018,,
Netflix,ABCD,MOVIE,2013,136,music,"6,30",6.960,,
Netflix,Blind Detective,MOVIE,2013,130,crime,"6,40",3.300,,
Netflix,Satyagraha,MOVIE,2013,152,drama,"5,90",5.171,,
Netflix,Buddies,MOVIE,2013,94,drama,"6,50",1.082,,
Netflix,Khoobsurat,MOVIE,2014,130,comedy,"6,40",8.464,,
Netflix,The Perfect Dictatorship,MOVIE,2014,143,drama,"7,20",5.432,,
Netflix,Bride for Rent,MOVIE,2014,115,romance,"6,40",601,,
Netflix,Selfie,MOVIE,2014,123,comedy,"6,00",1.671,,
Netflix,Chashme Baddoor,MOVIE,2013,120,comedy,"5,40",5.148,,
Netflix,Bombay Talkies,MOVIE,2013,127,drama,"6,60",5.402,,
Netflix,Humpty Sharma Ki Dulhania,MOVIE,2014,133,drama,"6,00",12.969,,
Netflix,Ragini MMS 2,MOVIE,2014,120,horror,"3,90",2.903,,
Netflix,Mission Blue,MOVIE,2014,94,documentation,"7,90",1.991,,
Netflix,Chennai Express,MOVIE,2013,141,romance,"6,00",53.939,,
Netflix,Saheb Biwi Aur Gangster Returns,MOVIE,2013,142,action,"6,70",3.997,,
Netflix,Raja Natwarlal,MOVIE,2014,141,thriller,"6,10",4.311,,
Netflix,My Beautiful Broken Brain,MOVIE,2014,84,documentation,"7,00",2.286,,
Netflix,Jim Gaffigan: Obsessed,MOVIE,2014,70,comedy,"7,60",2.244,,
Netflix,Jeff Dunham: All Over the Map,MOVIE,2014,41,comedy,"7,10",854,,
Netflix,Eyes of a Thief,MOVIE,2014,98,drama,"6,60",450,,
Netflix,Miss Granny,MOVIE,2014,124,drama,"7,20",3.508,,
Netflix,Aziz Ansari: Buried Alive,MOVIE,2013,79,comedy,"7,20",3.998,,
Netflix,Print the Legend,MOVIE,2014,100,documentation,"7,00",1.967,,
Netflix,The Butterfly's Dream,MOVIE,2013,138,drama,"7,70",22.191,,
Netflix,Tea Time,MOVIE,2014,70,documentation,"7,60",507,,
Netflix,Mitt,MOVIE,2014,93,documentation,"6,90",2.579,,
Netflix,Trailer Park Boys - Live in F**kin' Dublin,MOVIE,2014,81,comedy,"6,20",1.569,,
Netflix,Ungli,MOVIE,2014,114,thriller,"5,80",3.914,,
Netflix,When Love Happens,MOVIE,2014,109,romance,"4,80",129,,
Netflix,Marc Maron: Thinky Pain,MOVIE,2013,90,comedy,"7,30",1.892,,
Netflix,Coming Soon,MOVIE,2014,134,romance,"7,30",34.137,,
Netflix,Born in Gaza,MOVIE,2014,69,documentation,"7,40",511,,
Netflix,Tiger & Bunny: The Rising,MOVIE,2014,108,scifi,"6,70",334,,
Netflix,My Own Man,MOVIE,2014,82,documentation,"6,40",447,,
Netflix,SDU: Sex Duties Unit,MOVIE,2013,94,comedy,"5,90",492,,
Netflix,City of God: 10 Years Later,MOVIE,2013,69,documentation,"6,40",1.322,,
Netflix,October 1,MOVIE,2014,149,thriller,"6,40",446,,
Netflix,The Amazing Praybeyt Benjamin,MOVIE,2014,105,drama,"4,00",195,,
Netflix,Free to Play,MOVIE,2014,75,documentation,"7,60",13.341,,
Netflix,Inkaar,MOVIE,2013,133,drama,"6,10",2.586,,
Netflix,Dabbe 5: Curse of the Jinn,MOVIE,2014,132,horror,"5,90",3.788,,
Netflix,Diamonds in the Sky,MOVIE,2014,132,drama,"7,40",10,,
Netflix,Chhota Bheem and the ShiNobi Secret,MOVIE,2013,63,animation,"8,60",6,,
Netflix,Bhaji in Problem,MOVIE,2013,117,drama,"7,10",1.021,,
Netflix,Dedh Ishqiya,MOVIE,2014,148,romance,"7,00",7.236,,
Netflix,She's The One,MOVIE,2013,110,romance,"6,30",210,,
Netflix,Wedding Association,MOVIE,2013,106,comedy,"7,00",22.458,,
Netflix,Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,2014,71,comedy,"5,80",1.179,,
Netflix,Ghadi,MOVIE,2013,100,drama,"7,30",1.128,,
Netflix,Swearnet: The Movie,MOVIE,2014,112,comedy,"6,00",2.769,,
Netflix,E-Team,MOVIE,2014,88,documentation,"7,10",873,,
Netflix,SampleThis,MOVIE,2013,85,documentation,"6,40",471,,
Netflix,El Mago Pop,MOVIE,2013,44,reality,"6,80",21,,
Netflix,Ghanchakkar,MOVIE,2013,137,thriller,"5,80",5.052,,
Netflix,Seven Souls in the Skull Castle,MOVIE,2013,179,drama,"7,30",49,,
